Word,Company,Sector
Omnicom Group,OMC,Consumer Discretionary
ONEOK,OKE,Energy
Oracle Corp.,ORCL,Information Technology
PACCAR Inc.,PCAR,Industrials
Packaging Corporation of America,PKG,Materials
Parker-Hannifin,PH,Industrials
Paychex Inc.,PAYX,Information Technology
PayPal,PYPL,Information Technology
Pentair Ltd.,PNR,Industrials
People's United Financial,PBCT,Financials
PepsiCo Inc.,PEP,Consumer Staples
PerkinElmer,PKI,Health Care
Perrigo,PRGO,Health Care
Pfizer Inc.,PFE,Health Care
PG&E Corp.,PCG,Utilities
Philip Morris International,PM,Consumer Staples
Phillips 66,PSX,Energy
Pinnacle West Capital,PNW,Utilities
Pioneer Natural Resources,PXD,Energy
PNC Financial Services,PNC,Financials
Polo Ralph Lauren Corp.,RL,Consumer Discretionary
PPG Industries,PPG,Materials
PPL Corp.,PPL,Utilities
Praxair Inc.,PX,Materials
Principal Financial Group,PFG,Financials
Procter & Gamble,PG,Consumer Staples
Progressive Corp.,PGR,Financials
Prologis,PLD,Real Estate
Prudential Financial,PRU,Financials
Public Serv. Enterprise Inc.,PEG,Utilities
Public Storage,PSA,Real Estate
Pulte Homes Inc.,PHM,Consumer Discretionary
PVH Corp.,PVH,Consumer Discretionary
Qorvo,QRVO,Information Technology
QUALCOMM Inc.,QCOM,Information Technology
Quanta Services Inc.,PWR,Industrials
Quest Diagnostics,DGX,Health Care
Range Resources Corp.,RRC,Energy
Raymond James Financial Inc.,RJF,Financials
Raytheon Co.,RTN,Industrials
Realty Income Corporation,O,Real Estate
Red Hat Inc.,RHT,Information Technology
Regency Centers Corporation,REG,Real Estate
Regeneron,REGN,Health Care
Regions Financial Corp.,RF,Financials
Republic Services Inc,RSG,Industrials
ResMed,RMD,Health Care
Robert Half International,RHI,Industrials
Rockwell Automation Inc.,ROK,Industrials
Rockwell Collins,COL,Industrials
Roper Technologies,ROP,Industrials
Ross Stores,ROST,Consumer Discretionary
Royal Caribbean Cruises Ltd,RCL,Consumer Discretionary
S&P Global, Inc.,SPGI,Financials
Salesforce.com,CRM,Information Technology
SBA Communications,SBAC,Real Estate
SCANA Corp,SCG,Utilities
Schlumberger Ltd.,SLB,Energy
Seagate Technology,STX,Information Technology
Sealed Air,SEE,Materials
Sempra Energy,SRE,Utilities
Sherwin-Williams,SHW,Materials
Simon Property Group Inc,SPG,Real Estate
Skyworks Solutions,SWKS,Information Technology
SL Green Realty,SLG,Real Estate
Snap-On Inc.,SNA,Consumer Discretionary
Southern Co.,SO,Utilities
Southwest Airlines,LUV,Industrials
Stanley Black & Decker,SWK,Consumer Discretionary
Starbucks Corp.,SBUX,Consumer Discretionary
State Street Corp.,STT,Financials
Stericycle Inc,SRCL,Industrials
Stryker Corp.,SYK,Health Care
SunTrust Banks,STI,Financials
SVB Financial,SIVB,Financials
Symantec Corp.,SYMC,Information Technology
Synchrony Financial,SYF,Financials
Synopsys Inc.,SNPS,Information Technology
Sysco Corp.,SYY,Consumer Staples
T. Rowe Price Group,TROW,Financials
Take-Two Interactive,TTWO,Information Technology
Tapestry, Inc.,TPR,Consumer Discretionary
Target Corp.,TGT,Consumer Discretionary
TE Connectivity Ltd.,TEL,Information Technology
TechnipFMC,FTI,Energy
Texas Instruments,TXN,Information Technology
Textron Inc.,TXT,Industrials
The Bank of New York Mellon Corp.,BK,Financials
The Clorox Company,CLX,Consumer Staples
The Cooper Companies,COO,Health Care
The Hershey Company,HSY,Consumer Staples
The Mosaic Company,MOS,Materials
The Travelers Companies Inc.,TRV,Financials
The Walt Disney Company,DIS,Consumer Discretionary
Thermo Fisher Scientific,TMO,Health Care
Tiffany & Co.,TIF,Consumer Discretionary
Time Warner Inc.,TWX,Consumer Discretionary
TJX Companies Inc.,TJX,Consumer Discretionary
Torchmark Corp.,TMK,Financials
Total System Services,TSS,Information Technology
Tractor Supply Company,TSCO,Consumer Discretionary
TransDigm Group,TDG,Industrials
TripAdvisor,TRIP,Consumer Discretionary
Twenty-First Century Fox Class A,FOXA,Consumer Discretionary
Twenty-First Century Fox Class B,FOX,Consumer Discretionary
Tyson Foods,TSN,Consumer Staples
U.S. Bancorp,USB,Financials
UDR Inc,UDR,Real Estate
Ulta Beauty,ULTA,Consumer Discretionary
Under Armour Class A,UAA,Consumer Discretionary
Under Armour Class C,UA,Consumer Discretionary
Union Pacific,UNP,Industrials
United Continental Holdings,UAL,Industrials
United Health Group Inc.,UNH,Health Care
United Parcel Service,UPS,Industrials
United Rentals, Inc.,URI,Industrials
United Technologies,UTX,Industrials
Universal Health Services, Inc.,UHS,Health Care
Unum Group,UNM,Financials
V.F. Corp.,VFC,Consumer Discretionary
Valero Energy,VLO,Energy
Varian Medical Systems,VAR,Health Care
Ventas Inc,VTR,Real Estate
Verisign Inc.,VRSN,Information Technology
Verisk Analytics,VRSK,Industrials
Verizon Communications,VZ,Telecommunication Services
Vertex Pharmaceuticals Inc,VRTX,Health Care
Viacom Inc.,VIAB,Consumer Discretionary
Visa Inc.,V,Information Technology
Vornado Realty Trust,VNO,Real Estate
Vulcan Materials,VMC,Materials
Wal-Mart Stores,WMT,Consumer Staples
Walgreens Boots Alliance,WBA,Consumer Staples
Waste Management Inc.,WM,Industrials
Waters Corporation,WAT,Health Care
Wec Energy Group Inc,WEC,Utilities
Wells Fargo,WFC,Financials
Welltower Inc.,WELL,Real Estate
Western Digital,WDC,Information Technology
Western Union Co,WU,Information Technology
WestRock Company,WRK,Materials
Weyerhaeuser Corp.,WY,Real Estate
Whirlpool Corp.,WHR,Consumer Discretionary
Williams Cos.,WMB,Energy
Willis Towers Watson,WLTW,Financials
Wyndham Worldwide,WYN,Consumer Discretionary
Wynn Resorts Ltd,WYNN,Consumer Discretionary
Xcel Energy Inc,XEL,Utilities
Xerox Corp.,XRX,Information Technology
Xilinx Inc,XLNX,Information Technology
XL Capital,XL,Financials
Xylem Inc.,XYL,Industrials
Yum! Brands Inc,YUM,Consumer Discretionary
Zimmer Biomet Holdings,ZBH,Health Care
Zions Bancorp,ZION,Financials
Zoetis,ZTS,Health Care
